Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Date,Volume_Absolute,Value_Absolute_INR,ATS_INR,YoY_Value_Growth_%,YoY_Volume_Growth_%
Jun-23,458,9335.06,1475464.26,2023-06-01,9335060000.0,14754642600000.0,1580.5621602860613,45.45416815447392,59.22664278708798
Jul-23,473,9964.61,1533536.44,2023-07-01,9964610000.0,15335364400000.0,1538.9829004848157,44.26607032212555,58.46018065008587
Aug-23,484,10586.02,1576536.56,2023-08-01,10586020000.0,15765365600000.0,1489.2627824243673,46.956312192585045,60.89080996955756
Sep-23,492,10555.69,1579133.18,2023-09-01,10555690000.0,15791331800000.0,1496.00185302903,41.44386330061649,55.67027489381784
Oct-23,505,11408.79,1715768.34,2023-10-01,11408790000.0,17157683400000.0,1503.9003610374107,41.613825376201575,56.1688445017535
Nov-23,516,11235.29,1739740.61,2023-11-01,11235290000.0,17397406100000.002,1548.4607962945329,46.12382570005704,53.709102600058834
Dec-23,522,12020.23,1822949.42,2023-12-01,12020230000.0,18229494200000.0,1516.5678360563816,42.189641300961036,53.52506995985691
Jan-24,550,12203.02,1841083.97,2024-01-01,12203020000.0,18410839700000.0,1508.7117533200799,41.76070172489417,51.837588918101396
Feb-24,560,12102.67,1827869.35,2024-02-01,12102670000.0,18278693500000.0,1510.3025613356392,47.90422374582371,60.624492352775675
Mar-24,572,13440.0,1978353.23,2024-03-01,13440000000.0,19783532300000.0,1471.9890104166666,40.264669750818214,54.744222997478495
Apr-24,583,13303.99,1964464.52,2024-04-01,13303990000.0,19644645200000.0,1476.5980130772798,38.78191334312127,50.1026710262364
May-24,598,14035.84,2044937.05,2024-05-01,14035840000.0,20449370500000.0,1456.9395561647896,37.32285612075608,49.076545454738564
Jun-24,602,13885.14,2007081.2,2024-06-01,13885140000.0,20070812000000.0,1445.4886302910882,36.03048575368406,48.74183990247518
Jul-24,605,14435.55,2064292.41,2024-07-01,14435550000.0,20642924100000.0,1430.0060683520892,34.60993532048056,44.86818851916934
Aug-24,608,14963.05,2060735.57,2024-08-01,14963050000.0,20607355700000.0,1377.2162560440552,30.712831042751088,41.347267433841985
Sep-24,622,15041.75,2063994.71,2024-09-01,15041750000.0,20639947100000.0,1372.1772466634534,30.704283599436486,42.49897448674602
Oct-24,632,16584.97,2349821.46,2024-10-01,16584970000.000002,23498214600000.0,1416.8379321759398,36.95447137111763,45.37010498045806
Nov-24,637,15482.02,2155187.4,2024-11-01,15482020000.0,21551874000000.0,1392.058271465868,23.879812174988537,37.79813427156753
Dec-24,641,16730.01,2324699.91,2024-12-01,16730009999.999998,23246999100000.0,1389.5388645912346,27.524103768057362,39.1821121559238
Jan-25,647,16996.0,2348037.12,2025-01-01,16996000000.0,23480371200000.0,1381.523370204754,27.53558003114871,39.27699864459782
Feb-25,653,16106.19,2196481.69,2025-02-01,16106190000.0,21964816900000.0,1363.7500178502798,20.166230152062028,33.07964275651572
Mar-25,661,18301.51,2477221.61,2025-03-01,18301510000.0,24772216100000.0,1353.5613236284876,25.21634521252809,36.1719494047619
Apr-25,668,17893.42,2394925.87,2025-04-01,17893420000.0,23949258700000.0,1338.439420747962,21.912401349961776,34.49664348815655
May-25,673,18677.46,2514297.01,2025-05-01,18677460000.0,25142970099999.996,1346.1664541109978,22.952293812662816,33.069769960330134
Jun-25,675,18395.01,2403930.69,2025-06-01,18395010000.0,24039306900000.0,1306.8384795659258,19.772468099447103,32.47983095597164
Jul-25,684,19467.95,2508498.09,2025-07-01,19467950000.0,25084980900000.0,1288.527086827324,21.51854445853434,34.86115873659126
